season,home_team,away_team,home_off_rtg,home_def_rtg,away_off_rtg,away_def_rtg,home_pace,away_pace,home_wins
2015-16,TOR,MIA,101.7,106.4,104.4,101.3,90.39,90.62,1
2015-16,ATL,CLE,103.2,104.0,114.6,105.2,96.1,91.4,0
2015-16,OKC,SAS,111.3,105.8,109.8,100.5,95.61,92.65,0
2015-16,MIA,TOR,104.4,101.3,101.7,106.4,90.62,90.39,0
2015-16,POR,GSW,106.3,108.5,109.7,105.1,98.03,97.83,1
2015-16,ATL,CLE,103.2,104.0,114.6,105.2,96.1,91.4,0
2015-16,OKC,SAS,111.3,105.8,109.8,100.5,95.61,92.65,1
2015-16,MIA,TOR,104.4,101.3,101.7,106.4,90.62,90.39,1
2015-16,POR,GSW,106.3,108.5,109.7,105.1,98.03,97.83,0
2015-16,SAS,OKC,109.8,100.5,111.3,105.8,92.65,95.61,0
2015-16,GSW,POR,109.7,105.1,106.3,108.5,97.83,98.03,1
2015-16,TOR,MIA,101.7,106.4,104.4,101.3,90.39,90.62,1
2015-16,OKC,SAS,111.3,105.8,109.8,100.5,95.61,92.65,1
2015-16,MIA,TOR,104.4,101.3,101.7,106.4,90.62,90.39,1
2015-16,TOR,MIA,101.7,106.4,104.4,101.3,90.39,90.62,1
2015-16,GSW,OKC,109.7,105.1,111.3,105.8,97.83,95.61,0
2015-16,CLE,TOR,114.6,105.2,101.7,106.4,91.4,90.39,1
2015-16,GSW,OKC,109.7,105.1,111.3,105.8,97.83,95.61,1
2015-16,CLE,TOR,114.6,105.2,101.7,106.4,91.4,90.39,1
2015-16,TOR,CLE,101.7,106.4,114.6,105.2,90.39,91.4,1
2015-16,OKC,GSW,111.3,105.8,109.7,105.1,95.61,97.83,1
2015-16,TOR,CLE,101.7,106.4,114.6,105.2,90.39,91.4,1
2015-16,OKC,GSW,111.3,105.8,109.7,105.1,95.61,97.83,1
2015-16,CLE,TOR,114.6,105.2,101.7,106.4,91.4,90.39,1
2015-16,GSW,OKC,109.7,105.1,111.3,105.8,97.83,95.61,1
2015-16,TOR,CLE,101.7,106.4,114.6,105.2,90.39,91.4,0
2015-16,OKC,GSW,111.3,105.8,109.7,105.1,95.61,97.83,0
2015-16,GSW,OKC,109.7,105.1,111.3,105.8,97.83,95.61,1
2015-16,GSW,CLE,109.7,105.1,114.6,105.2,97.83,91.4,1
2015-16,GSW,CLE,109.7,105.1,114.6,105.2,97.83,91.4,1
2015-16,CLE,GSW,114.6,105.2,109.7,105.1,91.4,97.83,1
